GeneSymbol	accession
ENSG00000252237	RNU4-54P	ENSG00000252237
ENSG00000202187	RNA5SP355	ENSG00000202187
ENSG00000244712	AC084754.1	ENSG00000244712
ENSG00000256513	AC022081.1	ENSG00000256513
ENSG00000278687	AC024255.1	ENSG00000278687
ENSG00000257258	AC012150.1	ENSG00000257258
ENSG00000064763	FAR2	ENSG00000064763
ENSG00000275278	AC012150.2	ENSG00000275278
ENSG00000275476	AC009318.4	ENSG00000275476
ENSG00000257176	AC009318.1	ENSG00000257176
ENSG00000274315	AC009318.3	ENSG00000274315
ENSG00000273680	AC009318.2	ENSG00000273680
ENSG00000087502	ERGIC2	ENSG00000087502
ENSG00000257599	OVCH1-AS1	ENSG00000257599
ENSG00000187950	OVCH1	ENSG00000187950
ENSG00000133687	TMTC1	ENSG00000133687
ENSG00000257456	AC009320.1	ENSG00000257456
ENSG00000242986	RPL21P99	ENSG00000242986
ENSG00000276431	AC023511.2	ENSG00000276431
ENSG00000257262	AC023511.1	ENSG00000257262
ENSG00000257756	LINC02386	ENSG00000257756
ENSG00000284682	AC078776.2	ENSG00000284682
ENSG00000251781	RNA5SP356	ENSG00000251781
ENSG00000257932	AC078776.1	ENSG00000257932
ENSG00000258202	AC026371.1	ENSG00000258202
ENSG00000133704	IPO8	ENSG00000133704
ENSG00000110888	CAPRIN2	ENSG00000110888
ENSG00000246331	AC010198.1	ENSG00000246331
ENSG00000235884	LINC00941	ENSG00000235884
ENSG00000258118	AC010198.2	ENSG00000258118
ENSG00000110900	TSPAN11	ENSG00000110900
ENSG00000226472	AC008013.1	ENSG00000226472
ENSG00000256984	AC008013.2	ENSG00000256984
ENSG00000245614	DDX11-AS1	ENSG00000245614
ENSG00000013573	DDX11	ENSG00000013573
ENSG00000212533	SNORA75	ENSG00000212533
ENSG00000270926	AC008013.3	ENSG00000270926
ENSG00000177359	AC024940.1	ENSG00000177359
ENSG00000270766	AC024940.4	ENSG00000270766
ENSG00000243517	AC024940.2	ENSG00000243517
ENSG00000270395	MREGP1	ENSG00000270395
ENSG00000275097	AC024940.5	ENSG00000275097
ENSG00000139146	FAM60A	ENSG00000139146
ENSG00000256176	AC024940.3	ENSG00000256176
ENSG00000177340	FLJ13224	ENSG00000177340
ENSG00000256232	LINC02387	ENSG00000256232
ENSG00000283256	U6	ENSG00000283256
ENSG00000170456	DENND5B	ENSG00000170456
ENSG00000200388	RNU6-618P	ENSG00000200388
ENSG00000275769	AC068792.1	ENSG00000275769
ENSG00000203437	AC022080.1	ENSG00000203437
ENSG00000256159	AC022080.3	ENSG00000256159
ENSG00000201228	Y_RNA	ENSG00000201228
ENSG00000225349	AC022080.2	ENSG00000225349
ENSG00000255867	DENND5B-AS1	ENSG00000255867
ENSG00000252390	RNU5F-4P	ENSG00000252390
ENSG00000231788	RPL31P50	ENSG00000231788
ENSG00000233381	AK4P3	ENSG00000233381
ENSG00000139160	ETFBKMT	ENSG00000139160
ENSG00000151743	AMN1	ENSG00000151743
ENSG00000276058	STMN1P1	ENSG00000276058
ENSG00000276900	AC023157.3	ENSG00000276900
ENSG00000256843	AC023157.2	ENSG00000256843
ENSG00000223722	AC023157.1	ENSG00000223722
ENSG00000188375	H3F3C	ENSG00000188375
ENSG00000252421	RNU6-1069P	ENSG00000252421
ENSG00000252204	SNORA25	ENSG00000252204
ENSG00000256372	AC023050.2	ENSG00000256372
ENSG00000255760	LINC02422	ENSG00000255760
ENSG00000256465	AC023050.3	ENSG00000256465
ENSG00000244436	AC023050.1	ENSG00000244436
ENSG00000242314	RPL12P32	ENSG00000242314
ENSG00000256987	AC023050.4	ENSG00000256987
ENSG00000174718	KIAA1551	ENSG00000174718
ENSG00000276136	AC016957.2	ENSG00000276136
ENSG00000257094	AC016957.1	ENSG00000257094
ENSG00000257852	AC048344.2	ENSG00000257852
ENSG00000271357	AC048344.3	ENSG00000271357
ENSG00000257530	AC048344.1	ENSG00000257530
ENSG00000151746	BICD1	ENSG00000151746
ENSG00000277342	AC048344.4	ENSG00000277342
ENSG00000258134	AC016954.1	ENSG00000258134
ENSG00000274964	AC026356.1	ENSG00000274964
ENSG00000276115	AC026356.2	ENSG00000276115
ENSG00000207176	Y_RNA	ENSG00000207176
ENSG00000139132	FGD4	ENSG00000139132
ENSG00000253063	RNU6-494P	ENSG00000253063
ENSG00000087470	DNM1L	ENSG00000087470
ENSG00000257643	AC084824.2	ENSG00000257643
ENSG00000201563	Y_RNA	ENSG00000201563
ENSG00000276148	AC084824.5	ENSG00000276148
ENSG00000257511	AC084824.1	ENSG00000257511
ENSG00000139131	YARS2	ENSG00000139131
ENSG00000274105	AC084824.3	ENSG00000274105
ENSG00000275854	AC084824.4	ENSG00000275854
ENSG00000057294	PKP2	ENSG00000057294
ENSG00000274976	AC087588.2	ENSG00000274976
ENSG00000244743	AC087588.1	ENSG00000244743
ENSG00000257316	AC087311.1	ENSG00000257316
ENSG00000257435	AC087311.2	ENSG00000257435
ENSG00000110975	SYT10	ENSG00000110975
ENSG00000259937	AC023158.1	ENSG00000259937
ENSG00000273853	AC023158.2	ENSG00000273853
ENSG00000256070	AC016956.1	ENSG00000256070
ENSG00000212475	RNU6-400P	ENSG00000212475
ENSG00000270807	AC024153.1	ENSG00000270807
ENSG00000207026	RNU6-472P	ENSG00000207026
ENSG00000201624	Y_RNA	ENSG00000201624
ENSG00000139133	ALG10	ENSG00000139133
ENSG00000245482	AC046130.1	ENSG00000245482
ENSG00000256538	AC046130.2	ENSG00000256538
ENSG00000255628	AC140847.1	ENSG00000255628
ENSG00000256986	AC140847.3	ENSG00000256986
ENSG00000250788	TUBB8P4	ENSG00000250788
ENSG00000255652	AC140847.2	ENSG00000255652
ENSG00000272435	RNA5SP357	ENSG00000272435
ENSG00000258794	DUX4L27	ENSG00000258794
ENSG00000256614	AK6P1	ENSG00000256614
ENSG00000258368	ZNF970P	ENSG00000258368
ENSG00000257173	AK6P2	ENSG00000257173
ENSG00000258278	CLUHP8	ENSG00000258278
ENSG00000274293	pRNA	ENSG00000274293
ENSG00000199843	RNA5SP358	ENSG00000199843
ENSG00000201708	RNA5SP359	ENSG00000201708
ENSG00000254381	TUBB8P5	ENSG00000254381
ENSG00000257292	AC117372.1	ENSG00000257292
ENSG00000258360	NF1P12	ENSG00000258360
ENSG00000253016	Y_RNA	ENSG00000253016
ENSG00000175548	ALG10B	ENSG00000175548
ENSG00000257645	AC087897.1	ENSG00000257645
ENSG00000258119	AC087897.2	ENSG00000258119
ENSG00000139117	CPNE8	ENSG00000139117
ENSG00000257718	AC067735.1	ENSG00000257718
ENSG00000257586	AC018448.2	ENSG00000257586
ENSG00000257237	AC018448.1	ENSG00000257237
ENSG00000258144	LINC02406	ENSG00000258144
ENSG00000270718	AC084373.1	ENSG00000270718
ENSG00000139116	KIF21A	ENSG00000139116
ENSG00000255991	AC121334.1	ENSG00000255991
ENSG00000270273	AC121334.2	ENSG00000270273
ENSG00000173208	ABCD2	ENSG00000173208
ENSG00000180116	C12orf40	ENSG00000180116
ENSG00000151229	SLC2A13	ENSG00000151229
ENSG00000199571	SNORA22	ENSG00000199571
ENSG00000229014	RPL30P13	ENSG00000229014
ENSG00000260943	LINC02555	ENSG00000260943
ENSG00000223914	LINC02471	ENSG00000223914
ENSG00000225342	AC079630.1	ENSG00000225342
ENSG00000188906	LRRK2	ENSG00000188906
ENSG00000229899	AC084290.1	ENSG00000229899
ENSG00000205592	MUC19	ENSG00000205592
ENSG00000258167	AC107023.1	ENSG00000258167
ENSG00000207492	RNU6-713P	ENSG00000207492
ENSG00000018236	CNTN1	ENSG00000018236
ENSG00000257680	AC016144.1	ENSG00000257680
ENSG00000274682	AC015540.1	ENSG00000274682
ENSG00000165966	PDZRN4	ENSG00000165966
ENSG00000257228	AC090531.1	ENSG00000257228
ENSG00000252364	RNA5SP360	ENSG00000252364
ENSG00000258239	MTND2P17	ENSG00000258239
ENSG00000257858	MTND1P24	ENSG00000257858
ENSG00000257784	LINC02400	ENSG00000257784
ENSG00000257239	AC090630.1	ENSG00000257239
ENSG00000257128	AC006197.1	ENSG00000257128
ENSG00000271379	AC023513.1	ENSG00000271379
ENSG00000151233	GXYLT1	ENSG00000151233
ENSG00000015153	YAF2	ENSG00000015153
ENSG00000134283	PPHLN1	ENSG00000134283
ENSG00000257674	AC020629.1	ENSG00000257674
ENSG00000139168	ZCRB1	ENSG00000139168
ENSG00000278520	MIR7851	ENSG00000278520
ENSG00000252917	SNORA74	ENSG00000252917
ENSG00000274943	AC079684.1	ENSG00000274943
ENSG00000199886	RNU6-249P	ENSG00000199886
ENSG00000257376	AC079601.2	ENSG00000257376
ENSG00000207142	Y_RNA	ENSG00000207142
ENSG00000139174	PRICKLE1	ENSG00000139174
ENSG00000257225	AC079601.1	ENSG00000257225
ENSG00000258068	AC079600.3	ENSG00000258068
ENSG00000257510	LINC02402	ENSG00000257510
ENSG00000257687	AC079600.2	ENSG00000257687
ENSG00000257405	AC079600.1	ENSG00000257405
ENSG00000257164	LINC02451	ENSG00000257164
ENSG00000240759	RPS27P21	ENSG00000240759
ENSG00000257114	LINC02450	ENSG00000257114
ENSG00000271272	AC068802.1	ENSG00000271272
ENSG00000257849	AC012038.2	ENSG00000257849
ENSG00000257373	AC012038.1	ENSG00000257373
ENSG00000257927	MRPS36P5	ENSG00000257927
ENSG00000258331	LINC02461	ENSG00000258331
ENSG00000173157	ADAMTS20	ENSG00000173157
ENSG00000241251	AC090525.1	ENSG00000241251
ENSG00000257813	AC090525.2	ENSG00000257813
ENSG00000271508	AC090525.3	ENSG00000271508
ENSG00000257907	EEF1A1P17	ENSG00000257907
ENSG00000129317	PUS7L	ENSG00000129317
ENSG00000257896	AC093012.1	ENSG00000257896
ENSG00000198001	IRAK4	ENSG00000198001
ENSG00000151239	TWF1	ENSG00000151239
ENSG00000139173	TMEM117	ENSG00000139173
ENSG00000258212	ZNF75BP	ENSG00000258212
ENSG00000257947	AC025030.2	ENSG00000257947
ENSG00000257864	AC025030.1	ENSG00000257864
ENSG00000275286	AC025253.1	ENSG00000275286
ENSG00000184613	NELL2	ENSG00000184613
ENSG00000201788	Y_RNA	ENSG00000201788
ENSG00000185610	DBX2	ENSG00000185610
ENSG00000257319	AC008127.1	ENSG00000257319
ENSG00000257331	RACGAP1P	ENSG00000257331
ENSG00000257572	AC008127.2	ENSG00000257572
ENSG00000199556	RNA5SP361	ENSG00000199556
ENSG00000134297	PLEKHA8P1	ENSG00000134297
ENSG00000257738	AC009248.1	ENSG00000257738
ENSG00000177119	ANO6	ENSG00000177119
ENSG00000278351	AC009248.2	ENSG00000278351
ENSG00000257368	AC063924.1	ENSG00000257368
ENSG00000257657	AC079950.1	ENSG00000257657
ENSG00000283545	U6	ENSG00000283545
ENSG00000273015	AC008124.1	ENSG00000273015
ENSG00000189079	ARID2	ENSG00000189079
ENSG00000278475	AC009464.1	ENSG00000278475
ENSG00000265093	RN7SL246P	ENSG00000265093
ENSG00000270429	KNOP1P2	ENSG00000270429
ENSG00000139218	SCAF11	ENSG00000139218
ENSG00000239397	AC084878.1	ENSG00000239397
ENSG00000111371	SLC38A1	ENSG00000111371
ENSG00000274591	AC025031.3	ENSG00000274591
ENSG00000134294	SLC38A2	ENSG00000134294
ENSG00000258096	AC025031.2	ENSG00000258096
ENSG00000257261	AC008014.1	ENSG00000257261
ENSG00000257496	AC025031.1	ENSG00000257496
ENSG00000275481	AC025031.4	ENSG00000275481
ENSG00000278896	AC025031.5	ENSG00000278896
ENSG00000272369	AC008035.1	ENSG00000272369
ENSG00000272963	OR7A19P	ENSG00000272963
ENSG00000271642	MARK3P1	ENSG00000271642
ENSG00000139209	SLC38A4	ENSG00000139209
ENSG00000274723	AC079906.1	ENSG00000274723
ENSG00000139211	AMIGO2	ENSG00000139211
ENSG00000179715	PCED1B	ENSG00000179715
ENSG00000258352	AC119044.1	ENSG00000258352
ENSG00000263838	MIR4698	ENSG00000263838
ENSG00000247774	PCED1B-AS1	ENSG00000247774
ENSG00000257925	AC008083.1	ENSG00000257925
ENSG00000258181	AC008083.3	ENSG00000258181
ENSG00000276454	AC008083.4	ENSG00000276454
ENSG00000258116	AC008083.2	ENSG00000258116
ENSG00000199566	SNORA64	ENSG00000199566
ENSG00000257924	LINC02416	ENSG00000257924
ENSG00000264906	MIR4494	ENSG00000264906
ENSG00000257906	LINC02156	ENSG00000257906
ENSG00000258369	ADI1P3	ENSG00000258369
ENSG00000257807	AC003686.1	ENSG00000257807
ENSG00000257905	AC004486.1	ENSG00000257905
ENSG00000005175	RPAP3	ENSG00000005175
ENSG00000276390	AC004241.3	ENSG00000276390
ENSG00000257433	AC004241.1	ENSG00000257433
ENSG00000111405	ENDOU	ENSG00000111405
ENSG00000280054	AC004241.5	ENSG00000280054
ENSG00000274902	AC004241.2	ENSG00000274902
ENSG00000079337	RAPGEF3	ENSG00000079337
ENSG00000211584	SLC48A1	ENSG00000211584
ENSG00000277173	AC004241.4	ENSG00000277173
ENSG00000061273	HDAC7	ENSG00000061273
ENSG00000268069	AC004466.1	ENSG00000268069
ENSG00000276691	AC004466.3	ENSG00000276691
ENSG00000274737	AC004466.2	ENSG00000274737
ENSG00000257488	LINC02354	ENSG00000257488
ENSG00000111424	VDR	ENSG00000111424
ENSG00000205537	AC121338.1	ENSG00000205537
ENSG00000278385	AC121338.2	ENSG00000278385
ENSG00000279840	AC004801.7	ENSG00000279840
ENSG00000134291	TMEM106C	ENSG00000134291
ENSG00000139219	COL2A1	ENSG00000139219
ENSG00000258203	AC004801.5	ENSG00000258203
ENSG00000257985	AC004801.4	ENSG00000257985
ENSG00000257955	AC004801.3	ENSG00000257955
ENSG00000276814	AC004801.6	ENSG00000276814
ENSG00000079387	SENP1	ENSG00000079387
ENSG00000240399	AC004801.2	ENSG00000240399
ENSG00000222635	RNU6-1203P	ENSG00000222635
ENSG00000226138	AC004801.1	ENSG00000226138
ENSG00000152556	PFKM	ENSG00000152556
ENSG00000275770	MIR6505	ENSG00000275770
ENSG00000177981	ASB8	ENSG00000177981
ENSG00000274124	AC074029.3	ENSG00000274124
ENSG00000258051	AC074029.2	ENSG00000258051
ENSG00000257885	PHBP18	ENSG00000257885
ENSG00000257848	AC074029.1	ENSG00000257848
ENSG00000177875	CCDC184	ENSG00000177875
ENSG00000279875	AC074029.4	ENSG00000279875
ENSG00000269514	AC024257.3	ENSG00000269514
ENSG00000172640	OR10AD1	ENSG00000172640
ENSG00000258234	AC024257.1	ENSG00000258234
ENSG00000275228	AC024257.5	ENSG00000275228
ENSG00000187166	H1FNT	ENSG00000187166
ENSG00000258273	AC024257.2	ENSG00000258273
ENSG00000167528	ZNF641	ENSG00000167528
ENSG00000257735	AC090115.1	ENSG00000257735
ENSG00000257763	OR5BK1P	ENSG00000257763
ENSG00000273765	AC024257.4	ENSG00000273765
ENSG00000258024	AC090115.3	ENSG00000258024
ENSG00000257792	AC090115.2	ENSG00000257792
ENSG00000273434	AC090115.4	ENSG00000273434
ENSG00000226413	OR8T1P	ENSG00000226413
ENSG00000139223	ANP32D	ENSG00000139223
ENSG00000177627	C12orf54	ENSG00000177627
ENSG00000258121	AC089987.3	ENSG00000258121
ENSG00000240443	RPS10P20	ENSG00000240443
ENSG00000197376	AC089987.1	ENSG00000197376
ENSG00000284723	OR8S1	ENSG00000284723
ENSG00000198678	AC089987.2	ENSG00000198678
ENSG00000167531	LALBA	ENSG00000167531
ENSG00000224709	OR11M1P	ENSG00000224709
ENSG00000139620	KANSL2	ENSG00000139620
ENSG00000221491	SNORA2C	ENSG00000221491
ENSG00000281842	MIR1291	ENSG00000281842
ENSG00000206612	SNORA2A	ENSG00000206612
ENSG00000207313	SNORA2B	ENSG00000207313
ENSG00000129315	CCNT1	ENSG00000129315
ENSG00000257987	TEX49	ENSG00000257987
ENSG00000257653	AC117498.1	ENSG00000257653
ENSG00000174233	ADCY6	ENSG00000174233
ENSG00000264201	MIR4701	ENSG00000264201
ENSG00000257660	AC117498.2	ENSG00000257660
ENSG00000271547	AC117498.3	ENSG00000271547
ENSG00000207467	Y_RNA	ENSG00000207467
ENSG00000167535	CACNB3	ENSG00000167535
ENSG00000174243	DDX23	ENSG00000174243
ENSG00000172602	RND1	ENSG00000172602
ENSG00000199394	RNU6-600P	ENSG00000199394
ENSG00000239617	AC073610.1	ENSG00000239617
ENSG00000272822	AC073610.3	ENSG00000272822
ENSG00000139537	CCDC65	ENSG00000139537
ENSG00000134285	FKBP11	ENSG00000134285
ENSG00000255863	AC073610.2	ENSG00000255863
ENSG00000134287	ARF3	ENSG00000134287
ENSG00000169884	WNT10B	ENSG00000169884
ENSG00000200303	RNU6-940P	ENSG00000200303
ENSG00000125084	WNT1	ENSG00000125084
ENSG00000181418	DDN	ENSG00000181418
ENSG00000258283	AC011603.3	ENSG00000258283
ENSG00000257913	DDN-AS1	ENSG00000257913
ENSG00000181929	PRKAG1	ENSG00000181929
ENSG00000167548	KMT2D	ENSG00000167548
ENSG00000167550	RHEBL1	ENSG00000167550
ENSG00000277672	AC011603.4	ENSG00000277672
ENSG00000139549	DHH	ENSG00000139549
ENSG00000257346	AC011603.1	ENSG00000257346
ENSG00000139636	LMBR1L	ENSG00000139636
ENSG00000258017	AC011603.2	ENSG00000258017
ENSG00000123416	TUBA1B	ENSG00000123416
ENSG00000200309	Y_RNA	ENSG00000200309
ENSG00000167552	TUBA1A	ENSG00000167552
ENSG00000167553	TUBA1C	ENSG00000167553
ENSG00000274017	Metazoa_SRP	ENSG00000274017
ENSG00000258101	AC010173.1	ENSG00000258101
ENSG00000258232	AC125611.3	ENSG00000258232
ENSG00000258334	AC125611.4	ENSG00000258334
ENSG00000135406	PRPH	ENSG00000135406
ENSG00000135451	TROAP	ENSG00000135451
ENSG00000186897	C1QL4	ENSG00000186897
ENSG00000178401	DNAJC22	ENSG00000178401
ENSG00000123352	SPATS2	ENSG00000123352
ENSG00000257954	AC125611.2	ENSG00000257954
ENSG00000257464	AC125611.1	ENSG00000257464
ENSG00000135519	KCNH3	ENSG00000135519
ENSG00000187778	MCRS1	ENSG00000187778
ENSG00000110844	PRPF40B	ENSG00000110844
ENSG00000257964	AC020612.3	ENSG00000257964
ENSG00000135436	FAM186B	ENSG00000135436
ENSG00000199237	RNU6-834P	ENSG00000199237
ENSG00000258284	POLR2KP1	ENSG00000258284
ENSG00000257243	AC020612.1	ENSG00000257243
ENSG00000258104	HIGD1AP9	ENSG00000258104
ENSG00000161791	FMNL3	ENSG00000161791
ENSG00000139644	TMBIM6	ENSG00000139644
ENSG00000257570	AC020612.2	ENSG00000257570
ENSG00000257730	LSM6P2	ENSG00000257730
ENSG00000167566	NCKAP5L	ENSG00000167566
ENSG00000258057	BCDIN3D-AS1	ENSG00000258057
ENSG00000186666	BCDIN3D	ENSG00000186666
ENSG00000257253	AC131157.1	ENSG00000257253
ENSG00000242041	RPL35AP28	ENSG00000242041
ENSG00000135472	FAIM2	ENSG00000135472
ENSG00000258135	LINC02396	ENSG00000258135
ENSG00000257771	LINC02395	ENSG00000257771
ENSG00000167580	AQP2	ENSG00000167580
ENSG00000257588	AC025154.2	ENSG00000257588
ENSG00000257378	AC025154.1	ENSG00000257378
ENSG00000161798	AQP5	ENSG00000161798
ENSG00000086159	AQP6	ENSG00000086159
ENSG00000161800	RACGAP1	ENSG00000161800
ENSG00000110881	ASIC1	ENSG00000110881
ENSG00000066117	SMARCD1	ENSG00000066117
ENSG00000167588	GPD1	ENSG00000167588
ENSG00000178449	COX14	ENSG00000178449
ENSG00000272368	AC074032.1	ENSG00000272368
ENSG00000139624	CERS5	ENSG00000139624
ENSG00000050405	LIMA1	ENSG00000050405
ENSG00000257298	AC008147.2	ENSG00000257298
ENSG00000257531	AC008147.3	ENSG00000257531
ENSG00000257256	AC008147.1	ENSG00000257256
ENSG00000221604	MIR1293	ENSG00000221604
ENSG00000212496	RNU6-1093P	ENSG00000212496
ENSG00000278842	AC008147.4	ENSG00000278842
ENSG00000185958	FAM186A	ENSG00000185958
ENSG00000244266	AC090058.1	ENSG00000244266
ENSG00000161813	LARP4	ENSG00000161813
ENSG00000066084	DIP2B	ENSG00000066084
ENSG00000207136	RNU6-769P	ENSG00000207136
ENSG00000200183	RNU6-238P	ENSG00000200183
ENSG00000200428	Y_RNA	ENSG00000200428
ENSG00000271018	AC013244.1	ENSG00000271018
ENSG00000123268	ATF1	ENSG00000123268
ENSG00000271490	AC013244.2	ENSG00000271490
ENSG00000243075	RN7SL519P	ENSG00000243075
ENSG00000186452	TMPRSS12	ENSG00000186452
ENSG00000271621	AC013244.3	ENSG00000271621
ENSG00000185432	METTL7A	ENSG00000185432
ENSG00000274156	AC008121.2	ENSG00000274156
ENSG00000199740	Y_RNA	ENSG00000199740
ENSG00000271596	AC008121.1	ENSG00000271596
ENSG00000214511	HIGD1C	ENSG00000214511
ENSG00000274797	AC008121.3	ENSG00000274797
ENSG00000110911	SLC11A2	ENSG00000110911
ENSG00000272028	RNU6-87P	ENSG00000272028
ENSG00000199903	RNU6-1273P	ENSG00000199903
ENSG00000050426	LETMD1	ENSG00000050426
ENSG00000110925	CSRNP2	ENSG00000110925
ENSG00000135457	TFCP2	ENSG00000135457
ENSG00000244540	AC087884.1	ENSG00000244540
ENSG00000257246	PHBP19	ENSG00000257246
ENSG00000200953	Y_RNA	ENSG00000200953
ENSG00000199824	RNU6-199P	ENSG00000199824
ENSG00000184271	POU6F1	ENSG00000184271
ENSG00000278126	AC139768.1	ENSG00000278126
ENSG00000183283	DAZAP2	ENSG00000183283
ENSG00000170545	SMAGP	ENSG00000170545
ENSG00000110934	BIN2	ENSG00000110934
ENSG00000139610	CELA1	ENSG00000139610
ENSG00000139629	GALNT6	ENSG00000139629
ENSG00000050438	SLC4A8	ENSG00000050438
ENSG00000271065	AC107031.1	ENSG00000271065
ENSG00000196876	SCN8A	ENSG00000196876
ENSG00000257851	HNRNPA3P10	ENSG00000257851
ENSG00000260122	AC068987.2	ENSG00000260122
ENSG00000284730	AC068987.5	ENSG00000284730
ENSG00000260473	AC068987.3	ENSG00000260473
ENSG00000261308	FIGNL2	ENSG00000261308
ENSG00000261586	AC068987.4	ENSG00000261586
ENSG00000259887	AC068987.1	ENSG00000259887
ENSG00000167612	ANKRD33	ENSG00000167612
ENSG00000258021	AC025259.2	ENSG00000258021
ENSG00000139567	ACVRL1	ENSG00000139567
ENSG00000135503	ACVR1B	ENSG00000135503
ENSG00000206992	RNU6-574P	ENSG00000206992
ENSG00000161835	GRASP	ENSG00000161835
ENSG00000123358	NR4A1	ENSG00000123358
ENSG00000259884	AC025259.3	ENSG00000259884
ENSG00000123395	ATG101	ENSG00000123395
ENSG00000257663	AC025259.1	ENSG00000257663
ENSG00000257542	OR7E47P	ENSG00000257542
ENSG00000272724	OR7E47P	ENSG00000272724
ENSG00000257989	AC078864.1	ENSG00000257989
ENSG00000258279	LINC00592	ENSG00000258279
ENSG00000167767	KRT80	ENSG00000167767
ENSG00000257137	C12orf80	ENSG00000257137
ENSG00000257649	METTL7AP1	ENSG00000257649
ENSG00000135480	KRT7	ENSG00000135480
ENSG00000257671	KRT7-AS	ENSG00000257671
ENSG00000170442	KRT86	ENSG00000170442
ENSG00000135477	KRT87P	ENSG00000135477
ENSG00000257830	AC021066.1	ENSG00000257830
ENSG00000205426	KRT81	ENSG00000205426
ENSG00000257829	AC121757.1	ENSG00000257829
ENSG00000170523	KRT83	ENSG00000170523
ENSG00000274928	KRT89P	ENSG00000274928
ENSG00000135443	KRT85	ENSG00000135443
ENSG00000161849	KRT84	ENSG00000161849
ENSG00000258253	AC078865.1	ENSG00000258253
ENSG00000161850	KRT82	ENSG00000161850
ENSG00000257500	AC055736.1	ENSG00000257500
ENSG00000257844	KRT90P	ENSG00000257844
ENSG00000170454	KRT75	ENSG00000170454
ENSG00000185479	KRT6B	ENSG00000185479
ENSG00000170465	KRT6C	ENSG00000170465
ENSG00000205420	KRT6A	ENSG00000205420
ENSG00000186081	KRT5	ENSG00000186081
ENSG00000139648	KRT71	ENSG00000139648
ENSG00000170484	KRT74	ENSG00000170484
ENSG00000170486	KRT72	ENSG00000170486
ENSG00000257495	KRT73-AS1	ENSG00000257495
ENSG00000186049	KRT73	ENSG00000186049
ENSG00000258120	KRT128P	ENSG00000258120
ENSG00000172867	KRT2	ENSG00000172867
ENSG00000167768	KRT1	ENSG00000167768
ENSG00000189182	KRT77	ENSG00000189182
ENSG00000257700	AC055716.3	ENSG00000257700
ENSG00000257402	KRT126P	ENSG00000257402
ENSG00000258036	KRT125P	ENSG00000258036
ENSG00000257616	AC055716.2	ENSG00000257616
ENSG00000257343	AC055716.1	ENSG00000257343
ENSG00000257675	BTBD10P1	ENSG00000257675
ENSG00000257125	KRT127P	ENSG00000257125
ENSG00000258071	ARL2BPP2	ENSG00000258071
ENSG00000185069	KRT76	ENSG00000185069
ENSG00000257404	AC107016.2	ENSG00000257404
ENSG00000186442	KRT3	ENSG00000186442
ENSG00000170477	KRT4	ENSG00000170477
ENSG00000185640	KRT79	ENSG00000185640
ENSG00000257389	AC107016.1	ENSG00000257389
ENSG00000170423	KRT78	ENSG00000170423
ENSG00000241146	RPL7P41	ENSG00000241146
ENSG00000170421	KRT8	ENSG00000170421
ENSG00000111057	KRT18	ENSG00000111057
ENSG00000063046	EIF4B	ENSG00000063046
ENSG00000257475	AC068888.2	ENSG00000257475
ENSG00000257337	AC068888.1	ENSG00000257337
ENSG00000111077	TNS2	ENSG00000111077
ENSG00000278108	MIR6757	ENSG00000278108
ENSG00000167778	SPRYD3	ENSG00000167778
ENSG00000167779	IGFBP6	ENSG00000167779
ENSG00000167780	SOAT2	ENSG00000167780
ENSG00000258074	VTI1BP3	ENSG00000258074
ENSG00000238669	RNU6-333P	ENSG00000238669
ENSG00000258016	HIGD1AP1	ENSG00000258016
ENSG00000257790	EIF4A1P4	ENSG00000257790
ENSG00000139631	CSAD	ENSG00000139631
ENSG00000257808	AC073573.1	ENSG00000257808
ENSG00000139651	ZNF740	ENSG00000139651
ENSG00000139626	ITGB7	ENSG00000139626
ENSG00000172819	RARG	ENSG00000172819
ENSG00000283536	AC021072.1	ENSG00000283536
ENSG00000182544	MFSD5	ENSG00000182544
ENSG00000135476	ESPL1	ENSG00000135476
ENSG00000123349	PFDN5	ENSG00000123349
ENSG00000257605	AC073611.1	ENSG00000257605
ENSG00000139637	C12orf10	ENSG00000139637
ENSG00000094914	AAAS	ENSG00000094914
ENSG00000170374	SP7	ENSG00000170374
ENSG00000185591	SP1	ENSG00000185591
ENSG00000135409	AMHR2	ENSG00000135409
ENSG00000205352	PRR13	ENSG00000205352
ENSG00000257379	AC023509.1	ENSG00000257379
ENSG00000197111	PCBP2	ENSG00000197111
ENSG00000282977	PCBP2-OT1	ENSG00000282977
ENSG00000273658	uc_338	ENSG00000273658
ENSG00000139625	MAP3K12	ENSG00000139625
ENSG00000270175	AC023509.4	ENSG00000270175
ENSG00000139546	TARBP2	ENSG00000139546
ENSG00000267281	AC023509.3	ENSG00000267281
ENSG00000139574	NPFF	ENSG00000139574
ENSG00000170653	ATF7	ENSG00000170653
ENSG00000257550	AC023509.2	ENSG00000257550
ENSG00000275488	AC023509.5	ENSG00000275488
ENSG00000135390	ATP5G2	ENSG00000135390
ENSG00000213470	AC073594.1	ENSG00000213470
ENSG00000012822	CALCOCO1	ENSG00000012822
ENSG00000260492	CISTR	ENSG00000260492
ENSG00000260030	AC076968.1	ENSG00000260030
ENSG00000253053	RN7SKP289	ENSG00000253053
ENSG00000249641	HOXC13-AS	ENSG00000249641
ENSG00000123364	HOXC13	ENSG00000123364
ENSG00000123407	HOXC12	ENSG00000123407
ENSG00000228630	HOTAIR	ENSG00000228630
ENSG00000275589	HOTAIR_2	ENSG00000275589
